codigo,descricao,cd_mun
238,SAO JOSE DOS BASILIOS,2111250
239,IPIXUNA,1301803
240,SAO PEDRO DA AGUA BRANCA,2111532
241,ITACOATIARA,1301902
242,SAO PEDRO DOS CRENTES,2111573
243,ITAPIRANGA,1302009
244,SAO RAIMUNDO DO DOCA BEZERRA,2111631
245,JAPURA,1302108
246,SAO ROBERTO,2111672
247,JURUA,1302207
248,SATUBINHA,2111722
249,JUTAI,1302306
250,SENADOR ALEXANDRE COSTA,2111748
251,LABREA,1302405
252,SENADOR LA ROCQUE,2111763
253,MANACAPURU,1302504
254,SERRANO DO MARANHAO,2111789
255,MANAUS,1302603
256,SUCUPIRA DO RIACHAO,2111953
257,MANICORE,1302702
258,TRIZIDELA DO VALE,2112233
259,MARAA,1302801
260,TUFILANDIA,2112274
261,MAUES,1302900
262,TURILANDIA,2112456
263,NHAMUNDA,1303007
264,VILA NOVA DOS MARTIRIOS,2112852
265,NOVA OLINDA DO NORTE,1303106
266,ACAUA,2200053
267,NOVO ARIPUANA,1303304
268,ALVORADA DO GURGUEIA,2200459
269,PARINTINS,1303403
270,ASSUNCAO DO PIAUI,2201051
271,PAUINI,1303502
272,BARRA D'ALCANTARA,2201176
273,SANTO ANTONIO DO ICA,1303700
274,BELA VISTA DO PIAUI,2201556
275,SAO PAULO DE OLIVENCA,1303908
276,BELEM DO PIAUI,2201572
277,SILVES,1304005
278,BETANIA DO PIAUI,2201739
279,TAPAUA,1304104
280,BOA HORA,2201770
281,TEFE,1304203
282,BOQUEIRAO DO PIAUI,2201945
283,SAO GABRIEL DA CACHOEIRA,1303809
284,BREJO DO PIAUI,2201988
285,URUCARA,1304302
286,CAJAZEIRAS DO PIAUI,2202075
287,URUCURITUBA,1304401
288,CAJUEIRO DA PRAIA,2202083
289,ALVARAES,1300029
290,CAMPO ALEGRE DO FIDALGO,2202117
291,AMATURA,1300060
292,CAMPO GRANDE DO PIAUI,2202133
293,ANAMA,1300086
294,CAMPO LARGO DO PIAUI,2202174
295,BERURI,1300631
296,CAPITAO GERVASIO OLIVEIRA,2202455
297,BOA VISTA DO RAMOS,1300680
298,CARAUBAS DO PIAUI,2202539
299,CAAPIRANGA,1300839
300,CARIDADE DO PIAUI,2202554
301,BOA VISTA,1400100
302,CAXINGO,2202653
303,CARACARAI,1400209
304,COCAL DE TELHA,2202711
305,ALTO ALEGRE,1400050
306,COCAL DOS ALVES,2202729
307,BONFIM,1400159
308,CURRAIS,2203230
309,MUCAJAI,1400308
310,CURRALINHOS,2203255
311,NORMANDIA,1400407
312,CURRAL NOVO DO PIAUI,2203271
313,SAO JOAO DA BALIZA,1400506
314,FLORESTA DO PIAUI,2203859
315,SAO LUIZ,1400605
316,FRANCISCO MACEDO,2204154
317,MATEIROS,1712702
318,GEMINIANO,2204352
320,GUARIBAS,2204550
321,NOVO JARDIM,1715259
322,ILHA GRANDE,2204659
323,RIO DA CONCEICAO,1718659
324,JATOBA DO PIAUI,2205276
325,TAIPAS DO TOCANTINS,1720937
326,JOAO COSTA,2205359
327,CARIRI DO TOCANTINS,1703867
328,JOCA MARQUES,2205458
329,JAU DO TOCANTINS,1711506
330,JUAZEIRO DO PIAUI,2205516
331,SANDOLANDIA,1718840
332,JULIO BORGES,2205524
333,SAO SALVADOR DO TOCANTINS,1720259
334,JUREMA,2205532
335,SUCUPIRA,1720853
336,LAGOINHA DO PIAUI,2205540
337,ABREULANDIA,1700251
338,LAGOA DE SAO FRANCISCO,2205573
339,BRASILANDIA DO TOCANTINS,1703602
340,LAGOA DO PIAUI,2205581
341,BOM JESUS DO TOCANTINS,1703305
342,LAGOA DO SITIO,2205599
343,CENTENARIO,1704105
344,MADEIRO,2205854
345,FORTALEZA DO TABOCAO,1708254
346,MASSAPE DO PIAUI,2206050
347,ITAPIRATINS,1710904
348,MILTON BRANDAO,2206357
349,JUARINA,1711803
350,MORRO CABECA NO TEMPO,2206654
351,LAJEADO,1712009
352,MORRO DO CHAPEU DO PIAUI,2206670
353,LAGOA DO TOCANTINS,1711951
354,MURICI DOS PORTELAS,2206696
355,PIRAQUE,1717206
